id_str,text,created_at,"('user', 'id_str')",cleaned_text,sentiments
737549152645586944,3Novices:Congratulations To Bolivarian Socialism: Now Even Lufthansa Won't Fly To Venezuela https://t.co/X0CXxpV1Bu Things are getting pre…,Tue May 31 07:39:55 +0000 2016,2716028982,3novic congratul to bolivarian social now even lufthansa wo n't fli to venezuela thing get pre…,-1
737549175408074753,RT @papadimitriou: Finally! @Lufthansa is the first airline I take that updates the iOS wallet boarding passes live (gate just changed). Th…,Tue May 31 07:40:01 +0000 2016,704984977197375488,rt papadimitriou final lufthansa first airlin take updat io wallet board pass live gate chang th…,-1
737549245360701440,#News: Air France-KLM erwägt Teilverkauf des Catering-Geschäfts an Chinesen: Die... https://t.co/IY8hQ1YJR9 #Hot https://t.co/wUfuz18o2K,Tue May 31 07:40:17 +0000 2016,313517723,news air france-klm erwägt teilverkauf des catering-geschäft chinesen die ... hot,-1
737549285831516162,EasyJet launches crackdown on late arriving passengers at Gatwick #PublicTransport https://t.co/1qbabn5V48,Tue May 31 07:40:27 +0000 2016,2348999809,easyjet launch crackdown late arriv passeng gatwick publictransport,-1
737549296103358464,"@British_Airways Hi.My flights are 
BA0034 &amp; BA0458.Do i have to collect my luggage and recheck my bag while I have layover in Heathrow?Thx",Tue May 31 07:40:29 +0000 2016,272937189,british_airway hi.mi flight ba0034 amp ba0458.do collect luggag recheck bag layov heathrow thx,0
737549319310430208,@Vikkiee92 @VirginAtlantic What is it though? And what do you have to do to get 2000 miles? Does it take long?,Tue May 31 07:40:35 +0000 2016,3499850128,vikkiee92 virginatlant what though and get 2000 mile doe take long,0
737549322183532544,RT @ClodaghLRice: There are reports EasyJet is going to crack down on passengers who don't arrive early enough to go through security 30 mi…,Tue May 31 07:40:36 +0000 2016,295960026,rt clodaghlric there report easyjet go crack passeng n't arriv earli enough go secur 30 mi…,-1
737549336049946624,@EtihadAirways اكثر من نص ساعه انتظر حد يرد على تلفوني .. سؤالي ما لقيت اجابه له لا على الموقع و لا شي ..,Tue May 31 07:40:39 +0000 2016,326815167,etihadairway اكثر من نص ساعه انتظر حد يرد على تلفوني .. سؤالي ما لقيت اجابه له لا على الموقع لا شي ..,0
737549349408759808,RT @Mankool_Dusseld: Started at 2:57am to #DUS - take the #airberlin to #budapest. #Flight canceled and #baggage got lost. Finally got t… h…,Tue May 31 07:40:42 +0000 2016,4318275315,rt mankool_dusseld start 2:57am dus take airberlin budapest flight cancel baggag got lost final got t… h…,-1
737549444338438144,@EtihadAirways will do Kim :),Tue May 31 07:41:05 +0000 2016,20227880,etihadairway kim,-1
737549448201392128,@British_Airways why bother with priority boarding? You do general boarding at same time and general boarding is complete before priority!,Tue May 31 07:41:06 +0000 2016,13839812,british_airway bother prioriti board you general board time general board complet prioriti,-1
737549461858058242,"Schweinehälften, Lufthansa und gewohnte Tunnel. Schauen, was in anderen Gebieten funktioniert --&gt; https://t.co/vLlhpqp68D",Tue May 31 07:41:09 +0000 2016,42873739,schweinehälften lufthansa und gewohnt tunnel schauen anderen gebieten funktioniert -- gt,0
737549470284402688,@British_Airways I want my flight cost back. Answer me.,Tue May 31 07:41:11 +0000 2016,347233935,british_airway want flight cost back answer,-1
737549486466031617,@KLM Dank. Ik weet hoe het werkt. Eerder gedaan.,Tue May 31 07:41:15 +0000 2016,375520043,klm dank ik weet hoe het werkt eerder gedaan,0
737549497346064384,"RT @david_bychkov: easyJet: LindsLouT Hi Linds, sorry for that. For future reference, kindly see this: https://t.co/9d8gAlY7vo and https://…",Tue May 31 07:41:17 +0000 2016,3172991259,rt david_bychkov easyjet lindslout hi lind sorri for futur refer kind see,0
737549505805975552,RT @paleowithmrsp: Sitting in freezing cold departures @ City no knowing whether we'll get on our flight which is 2 hrs delayed! @British_A…,Tue May 31 07:41:19 +0000 2016,3172991259,rt paleowithmrsp sit freez cold departur citi know whether ll get flight hrs delay british_a…,-1
