id_str,text,created_at,"('user', 'id_str')"
737290531886256132,Venezuela debe a Lufthansa más de 100 mdd https://t.co/BwiMseYpmc,Mon May 30 14:32:15 +0000 2016,3309034300
737290557727199233,@AmericanAir well the starter to the starter of the plane failed and pushed me back an hour and a half in the plane.,Mon May 30 14:32:21 +0000 2016,34284858
737290557966438400,#Banks &amp; #Wallstreet #fucking people : UPDATE 1-Lufthansa says owed more than $100 million by Venezuela https://t.co/CUGN5RXUIj,Mon May 30 14:32:21 +0000 2016,3289347854
737290569630810113,"RT @persianbanoo: نامه نرگس محمدی از زندان: صدوراحکام سنگین براساس دستور نهادهای امنیتی و برای ارعاب و یأس است
https://t.co/5f8XnI3e8m http…",Mon May 30 14:32:24 +0000 2016,2243192349
737290583237136386,CheapOair: Up to $20 off Easyjet Flights https://t.co/yD4KuEMKFI,Mon May 30 14:32:27 +0000 2016,75197305
737290588047937536,UPDATE 1-Lufthansa says owed more than $100 million by Venezuela https://t.co/cGt0NL93Gz,Mon May 30 14:32:29 +0000 2016,1643374520
737290595329282048,@VirginAtlantic @YoJonez @paulj85 I'm going to need a third credit card,Mon May 30 14:32:30 +0000 2016,323523942
737290598869270528,"Lufthansa suspenderá vuelos a Venezuela de manera indefinida
 https://t.co/Lon8rLokQK via @CNNEE",Mon May 30 14:32:31 +0000 2016,562958278
737290613389955072,RT @itele: #AirFrance &gt; Les pilotes du syndicat majoritaire votent à 68% le principe d'une grève longue (SNPL) https://t.co/rn6sy3ftpS,Mon May 30 14:32:35 +0000 2016,2780722525
737290629550575616,"RT @DrScratch: Et pour sauver la face pdt l'euro, le gvt va demander à AirFrance de négocier et céder asap vous pensez ? https://t.co/EfXUr…",Mon May 30 14:32:38 +0000 2016,122448610
737290650937364480,RT @THETOMMYDREAMER: Dear @AmericanAir any flight boarding to Austin Texas should have priority status called as Sweet Sapphire tribute to…,Mon May 30 14:32:44 +0000 2016,4694076758
737290658248003585,Thanks @British_Airways for cancelling my flight from Oslo tmrw. Had to change for earlier 1 but not sure I'll make it bc it's connecting 😔,Mon May 30 14:32:45 +0000 2016,28970992
737290683443236864,RT @PolVDD: PS heeft ervaring in boycotten samenwerking met Nederlands bedrijf. Herinner u het 'njet' van Spitaels in 1988 tgn verbond KLM-…,Mon May 30 14:32:51 +0000 2016,2901732390
737290686672871424,RT @temuco: Aerolínea Lufthansa cancelará sus vuelos a Caracas a partir de junio https://t.co/B6i7zsTX5L https://t.co/7kYAAkqPul,Mon May 30 14:32:52 +0000 2016,185467794
737290700652457985,RT @Intereconomia: La compañía aérea Lufthansa cancela sus vuelos a la Venezuela chavista https://t.co/YsJEk8oJva https://t.co/rSzemXyRPj,Mon May 30 14:32:55 +0000 2016,1160648827
737290746814832641,Better Rating Was Given to @AmericanAir Group (NASDAQ:AAL) By a Broker. $46.00 is The Target - Franklin..  https://t.co/c8mlSI64iN,Mon May 30 14:33:06 +0000 2016,256187091
737290751332220928,Lufthansa to suspend flights to Venezuela https://t.co/sUdNM5G6mR,Mon May 30 14:33:07 +0000 2016,703162463831732226
737290752951263232,Lufthansa to suspend flights to Venezuela https://t.co/b279GdspQN,Mon May 30 14:33:08 +0000 2016,727512653824937984
737290755832610816,@AmericanAir which led me to miss my connecting flight to MIA to LIM. I arrived in Lima at 11 instead of 8 and I had a 6AM flight to catch,Mon May 30 14:33:09 +0000 2016,34284858
737290766901510144,@Ryanair thank you for the 3 hour #delay to ruin the end of a #bankholiday ✈ #RyanAir,Mon May 30 14:33:11 +0000 2016,237079509
737290774115557376,@AmericanAir the next day,Mon May 30 14:33:13 +0000 2016,34284858
737290777945051136,#AirFrance : Les pilotes du SNPL votent le principe d'une grève longue - https://t.co/lwizuhSrMG #Société https://t.co/joMeMwOeSl,Mon May 30 14:33:14 +0000 2016,804474511
